ID,Ref,year,PCE_max(%),PCE_ave(%),Jsc(mA/cm2),FF,Voc(V),Nickname(n),-HOMO_n(eV),-LUMO_n(eV),Eg_n(eV),n(SMILES),M (g/mol),Nickname(p),-HOMO_p(eV),-LUMO_p(eV),Eg_p(eV),p(SMILES),Mw (kg/mol),Mn(kg/mol),PDI,p/n ratio (p),p/n ratio (n),Solvent,Additive,TA (oC),thick (nm),,Journal,DOI
822,378,2019,4.92,4.78,9.69,0.5992,0.84,8c,5.84,3.91,1.93,O=C(N(CCCC)C1=O)C(C1=C2)=CC3=C2C4=NC5=C(C=C(C6=C7)C(N(CCCC)C6=O)=O)C7=C8N5B9(F)[N]4=C3N=C%10C%11=C(C=C(C%12=C%11)C(N(CCCC)C%12=O)=O)C(N%109)=N8,789.59,PM6,5.41,3.74,1.67,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2,1,1,CB,DIO,100,,,,
823,378,2019,3.15,2.98,7.19,0.5309,0.82,7c,5.92,3.98,1.94,O=C(N(CCCC)C1=O)C(C1=C2)=CC3=C2C4=NC5=C(C=C(C6=C7)C(N(CCCC)C6=O)=O)C7=C8N5B9(Cl)[N]4=C3N=C%10C%11=C(C=C(C%12=C%11)C(N(CCCC)C%12=O)=O)C(N%109)=N8,806.04,PM6,5.41,3.74,1.67,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2,1,1,CB,DIO,100,,,,
824,378,2019,2.67,2.51,6.4,0.4626,0.89,7d,5.89,3.95,1.94,O=C(N(C(CCCCC)CCCCC)C1=O)C(C1=C2)=CC3=C2C4=NC5=C(C=C(C6=C7)C(N(C(CCCCC)CCCCC)C6=O)=O)C7=C8N5B9(Cl)[N]4=C3N=C%10C%11=C(C=C(C%12=C%11)C(N(C(CCCCC)CCCCC)C%12=O)=O)C(N%109)=N8,1100.61,PM6,5.41,3.74,1.67,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2,1,1,CB,DIO,100,,,,
825,378,2019,3.37,3.18,7.44,0.4712,0.96,8d,5.86,3.94,1.92,O=C(N(C(CCCCC)CCCCC)C1=O)C(C1=C2)=CC3=C2C4=NC5=C(C=C(C6=C7)C(N(C(CCCCC)CCCCC)C6=O)=O)C7=C8N5B9(F)[N]4=C3N=C%10C%11=C(C=C(C%12=C%11)C(N(C(CCCCC)CCCCC)C%12=O)=O)C(N%109)=N8,1084.16,PM6,5.41,3.74,1.67,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2,1,1,CB,DIO,100,,,,
826,379,2019,11.2,11,16.61,0.7176,0.94,IT-M,5.56,3.98,1.58,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(C)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(C)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1456.01,PBDB-T,5.21,3.41,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,1,CB,DIO,80,,,,
827,379,2019,8.7,8.55,12.22,0.725,0.99,ITCC,5.62,3.92,1.7,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(SC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(SC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1440,PBDB-T,5.21,3.41,1.8,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,1,CB,DIO,80,,,,
828,380,2019,6.6,6.19,13.24,0.49,0.96,ITIC,5.61,3.94,1.67,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,PTBDD2F-a,5.49,3.61,1.88,O=C(C1=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C21)C3=C(C4=CC(CC(CC)CCCC)=C(C5=CC=C(C6=C(F)C=C(C7=CC=C(C)S7)C(F)=C6)S5)S4)SC(C8=CC(CC(CC)CCCC)=C(C)S8)=C3C2=O,148.8,31,4.8,1,1,CB,DIO,NA,,,,
829,380,2019,5.47,5.14,11.68,0.46,0.96,ITIC,5.61,3.94,1.67,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1427.96,PTBDD2F-s,5.49,3.6,1.89,O=C(C1=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C21)C3=C(C4=CC(CC(CC)CCCC)=C(C5=CC=C(C6=C(F)C(F)=C(C7=CC=C(C)S7)C=C6)S5)S4)SC(C8=CC(CC(CC)CCCC)=C(C)S8)=C3C2=O,103.6,28,3.7,1,1,CB,DIO,NA,,,,
830,381,2019,1.43,1.43,3.41,0.36,1.17,BP(DPPB)4,5.31,3.63,1.68,O=C1C(C(C(N2CC(CCCC)CC)=O)=C(C3=CC=C(C4=CC=CC=C4)S3)N1CC(CCCC)CC)=C2C5=CC=C(C6=CC(C7=CC=C(C(N(CC(CCCC)CC)C8=O)=C9C8=C(C%10=CC=C(C%11=CC=CC=C%11)S%10)N(CC(CCCC)CC)C9=O)S7)=CC(C%12=CC(C%13=CC=C(C%14=C%15C(C(N%14CC(CCCC)CC)=O)=C(C%16=CC=C(C%17=CC=CC=C%17)S%16)N(CC(CCCC)CC)C%15=O)S%13)=CC(C%18=CC=C(C(N(CC(CCCC)CC)C%19=O)=C%20C%19=C(C%21=CC=C(C%22=CC=CC=C%22)S%21)N(CC(CCCC)CC)C%20=O)S%18)=C%12)=C6)S5,2549.67,P3HT,4.94,2.94,2,CC1=CC(CCCCCC)=C(C)S1,21.1,11.6,1.818965517,2,1,CF,NA,120,,,,
831,382,2019,3.93,3.93,8.26,0.5012,0.95,BFPSP,5.97,3.81,2.16,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC=C3C4=C(C5=C(C6=C7C8=C(C9=CC%10=C%11C(C%12=CC=C%11C(N(C(CCCCCC)CCCCCC)C%10=O)=O)=C9C%13=C8C=C(C(N(C(CCCCCC)CCCCCC)C%14=O)=O)C%15=C%14C=CC%12=C%13%15)S6)C=C(C(N(C(CCCCCC)CCCCCC)C%16=O)=O)C%17=C%16C=CC3=C5%17)C7=CC1=C42,1586.18,PBDB-T,5.27,3.5,1.77,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,0.8,CF,NA,200,,,,
832,382,2019,7.38,7.38,12.58,0.6306,0.93,BFPTP,6,3.88,2.12,O=C(N(C(CCCCCC)CCCCCC)C1=O)C2=CC=C3C4=C(C5=C(C6=C7C8=C(C9=CC%10=C%11C(C%12=CC=C%11C(N(C(CCCCCC)CCCCCC)C%10=O)=O)=C9C%13=C8C=C(C(N(C(CCCCCC)CCCCCC)C%14=O)=O)C%15=C%14C=CC%12=C%13%15)[Te]6)C=C(C(N(C(CCCCCC)CCCCCC)C%16=O)=O)C%17=C%16C=CC3=C5%17)C7=CC1=C42,1681.72,PBDB-T,5.27,3.5,1.77,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,117,58.5,2,1,0.8,CF,NA,200,,,,
833,383,2018,10.8,10.4,15.9,0.74,0.92,ITCPTC,5.62,3.96,1.66,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=CSC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=CSC=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1440,PBT1-C-LW,5.44,3.43,2.01,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,35.2,16,2.2,1,1,CF,NA,100,110,,,
834,383,2018,12.8,12.3,17.2,0.79,0.94,ITCPTC,5.62,3.96,1.66,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=CSC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=CSC=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1440,PBT1-C-MW,5.46,3.4,2.06,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,80.43,38.3,2.1,1,1,CF,NA,100,110,,,
835,383,2018,12.4,12,17.1,0.78,0.93,ITCPTC,5.62,3.96,1.66,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=CSC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=CSC=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1440,PBT1-C-MW2,5.46,3.41,2.05,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,106.02,55.8,1.9,1,1,CF,NA,100,110,,,
836,383,2018,12,11.9,16.8,0.77,0.93,ITCPTC,5.62,3.96,1.66,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C9=CSC=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C%14=CSC=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1440,PBT1-C-HW,5.46,3.39,2.07,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,180.55,78.5,2.3,1,1,CF,NA,100,110,,,
837,384,2019,7.91,7.69,12.47,0.637,0.996,TTPTTT-IC,5.64,3.87,1.77,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC8=C7SC(/C=C9C(C(C=CC=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(SC(/C=C%14C(C(C=CC=C%15)=C%15C\%14=C(C#N)/C#N)=O)=C%16)=C%16S%13,1484.04,PBT1-C,5.43,3.36,2.07,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,70,35,2,1,1.2,CF,DIO,100,,,,
838,384,2019,11.52,11.21,16.78,0.746,0.92,TTPTTT-2F,5.67,4.04,1.63,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC8=C7SC(/C=C9C(C(C=CC(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(SC(/C=C%14C(C(C=CC(F)=C%15)=C%15C\%14=C(C#N)/C#N)=O)=C%16)=C%16S%13,1520.02,PBT1-C,5.43,3.36,2.07,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,70,35,2,1,1.2,CF,DIO,100,,,,
839,384,2019,12.05,11.89,19.36,0.721,0.863,TTPTTT-4F,5.69,4.12,1.57,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC8=C7SC(/C=C9C(C(C=C(F)C(F)=C%10)=C%10C\9=C(C#N)\C#N)=O)=C8)(C%11=CC=C(CCCCCC)C=C%11)C%12=CC=C(CCCCCC)C=C%12)C=C4C%13=C2C(SC(/C=C%14C(C(C=C(F)C(F)=C%15)=C%15C\%14=C(C#N)/C#N)=O)=C%16)=C%16S%13,1556,PBT1-C,5.43,3.36,2.07,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,70,35,2,1,1.2,CF,DIO,100,,,,
840,385,2019,7.1,6.8,14,0.519,0.97,DBSelC,5.53,3.92,1.61,O=C1C(C=CC=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C=C(C(C(C9=CC=C(CCCCCC)C=C9)%10C%11=CC=C(CCCCCC)C=C%11)=C([Se]%12)C%13=C%10C=C(/C=C%14/C(C%15=C(C=CC=C%15)C%14=O)=C(C#N)\C#N)S%13)C%12=C8)[Se]5)=C(C#N)/C#N,1521.76,PM6,5.5,3.61,1.89,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2,1,1,CB,NA,100,,,,
841,385,2019,12.5,12.3,20.3,0.691,0.89,DBSelC2Br,5.63,3.99,1.64,O=C1C(C=CC(Br)=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C=C(C(C(C9=CC=C(CCCCCC)C=C9)%10C%11=CC=C(CCCCCC)C=C%11)=C([Se]%12)C%13=C%10C=C(/C=C%14/C(C%15=C(C=CC(Br)=C%15)C%14=O)=C(C#N)\C#N)S%13)C%12=C8)[Se]5)=C(C#N)/C#N,1679.55,PM6,5.5,3.61,1.89,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2,1,1,CB,NA,100,,,,
842,385,2019,9.6,9.4,16.4,0.686,0.85,DBSelC4Br,5.65,4.02,1.63,O=C1C(C=C(Br)C(Br)=C2)=C2C(/C1=C/C(S3)=CC4=C3C5=C(C(C6=CC=C(CCCCCC)C=C6)4C7=CC=C(CCCCCC)C=C7)C8=C(C=C(C(C(C9=CC=C(CCCCCC)C=C9)%10C%11=CC=C(CCCCCC)C=C%11)=C([Se]%12)C%13=C%10C=C(/C=C%14/C(C%15=C(C=C(Br)C(Br)=C%15)C%14=O)=C(C#N)\C#N)S%13)C%12=C8)[Se]5)=C(C#N)/C#N,1837.34,PM6,5.5,3.61,1.89,CC(SC1=C2C3=CC(F)=C(CC(CC)CCCC)S3)=CC1=C(C4=CC(F)=C(CC(CC)CCCC)S4)C5=C2C=C(S5)C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6,38.6,19.3,2,1,1,CB,NA,100,,,,
843,386,2019,1.1,0.6,3.2,0.335,0.92,ITIC-Th,5.67,4.06,1.61,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=C(CCCCCC)S%12)C%13=CC=C(CCCCCC)S%13)=C8C=C6C(C%14=CSC(CCCCCC)=C%14)5C%15=CC=C(CCCCCC)S%15,1452.04,P(fTh-BDT)-C6,5.47,3.39,2.08,CC(SC1=C2OCC(CC)CCCC)=CC1=C(OCC(CC)CCCC)C3=C2C=C(C4=C(F)C(CCCCCC)=C(C)S4)S3,29,2,14.5,1,1.5,CB,DIO,110,,,,
844,386,2019,11.1,10.6,17.1,0.628,0.94,ITIC-Th,5.67,4.06,1.61,O=C(C(C=CC=C1)=C1C/2=C(C#N)\C#N)C2=C/C3=CC(S4)=C(S3)C5=C4C6=CC(C(C7=C8SC9=C7SC(/C=C%10C(C(C=CC=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C9)(C%12=CC=C(CCCCCC)S%12)C%13=CC=C(CCCCCC)S%13)=C8C=C6C(C%14=CSC(CCCCCC)=C%14)5C%15=CC=C(CCCCCC)S%15,1452.04,P(fTh-2BDT)-C6,5.51,3.48,2.03,CC(SC1=C2C3=CC=C(CC(CC)CCCC)S3)=CC1=C(C4=CC=C(CC(CC)CCCC)S4)C5=C2C=C(C6=C(F)C(CCCCCC)=C(C)S6)S5,201,67,3,1,1.5,CB,DIO,110,,,,
845,387,2018,11.1,10.9,18.03,0.703,0.86,ITIC-2Cl,5.7,4.14,1.56,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(Cl)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(Cl)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1496.84,PBT1-C,5.43,3.36,2.07,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,70,35,2,1,1,CF,NA,100,,,,
846,388,2019,11.04,10.81,17.28,0.727,0.879,IT-2F,5.67,4.02,1.65,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=CC5=C(C(C6=C5SC7=C6SC(/C=C8C(C(C=CC(F)=C9)=C9C\8=C(C#N)\C#N)=O)=C7)(C%10=CC=C(CCCCCC)C=C%10)C%11=CC=C(CCCCCC)C=C%11)C=C4C%12=C2C(SC(/C=C%13C(C(C=CC(F)=C%14)=C%14C\%13=C(C#N)/C#N)=O)=C%15)=C%15S%12,1463.94,PBT1-C,5.42,3.41,2.01,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,70,35,2,1,1,CF,DIO,NA,95,,,
847,389,2018,8.33,8.02,13.89,0.686,0.874,TPT-2F,5.84,4.06,1.78,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C=C(/C=C%10C(C(C=CC(F)=C%11)=C%11C\%10=C(C#N)\C#N)=O)S9)C=C52)SC(/C=C%12C(C(C=CC(F)=C%13)=C%13C\%12=C(C#N)\C#N)=O)=C4,1351.77,PBT1-C,5.43,3.36,2.07,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,70,35,2,1,1,CF,DIO,100,,,,
848,389,2018,10.17,9.98,15.82,0.73,0.881,TPTT-2F,5.75,4.04,1.71,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C(SC(/C=C%10C(C(C=CC(F)=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C%12)=C%12S9)C=C52)SC(/C=C%13C(C(C=CC(F)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C4,1407.85,PBT1-C,5.43,3.36,2.07,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,70,35,2,1,1,CF,DIO,100,,,,
849,389,2018,12.03,11.78,17.63,0.745,0.916,TPTTT-2F,5.69,4.01,1.68,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C(SC%10=C%11SC(/C=C%12C(C(C=CC(F)=C%13)=C%13C\%12=C(C#N)\C#N)=O)=C%10)=C%11S9)C=C52)SC(/C=C%14C(C(C=CC(F)=C%15)=C%15C\%14=C(C#N)\C#N)=O)=C4,1463.94,PBT1-C,5.43,3.36,2.07,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,70,35,2,1,1,CF,DIO,100,,,,
850,390,2019,10.9,10.65,17.51,0.75,0.83,SePTT-2F,5.71,4,1.71,CCCCCCC(C=C1)=CC=C1C2(C3=CC=C(CCCCCC)C=C3)C4=C(C5=CC(C6(C7=CC=C(CCCCCC)C=C7)C8=CC=C(CCCCCC)C=C8)=C(C9=C6C(SC(/C=C%10C(C(C=CC(F)=C%11)=C%11C\%10=C(C#N)\C#N)=O)=C%12)=C%12S9)C=C52)[Se]C(/C=C%13C(C(C=CC(F)=C%14)=C%14C\%13=C(C#N)\C#N)=O)=C4,1454.75,PBT1-C,5.43,3.36,2.07,CC(SC1=C2C3=CC=C(CC(CCCC)CCCCCC)C=C3)=CC1=C(C4=CC=C(CC(CCCC)CCCCCC)C=C4)C5=C2C=C(C6=CC=C(C7=C8C(C(C9=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C9C8=O)=O)=C(C%10=CC=C(C)S%10)S7)S6)S5,70,35,2,1,0.9,CB,DIO,80,,,,
